transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
80712190438,270351,28-02-2014,1.0,1,-5,-772.0,405.3,-4265.3,e-Shop
29258453508,270384,27-02-2014,5.0,3,-5,-1497.0,785.925,-8270.925,e-Shop
51750724947,273420,24-02-2014,6.0,5,-2,-791.0,166.11,-1748.11,TeleShop
93274880719,271509,24-02-2014,11.0,6,-3,-1363.0,429.345,-4518.345,e-Shop
51750724947,273420,23-02-2014,6.0,5,-2,-791.0,166.11,-1748.11,TeleShop
97439039119,272357,23-02-2014,8.0,3,-2,-824.0,173.04,-1821.04,TeleShop
45649838090,273667,22-02-2014,11.0,6,-1,-1450.0,152.25,-1602.25,e-Shop
22643667930,271489,22-02-2014,12.0,6,-1,-1225.0,128.625,-1353.625,TeleShop
79792372943,275108,22-02-2014,3.0,1,-3,-908.0,286.02,-3010.02,MBR
50076728598,269014,21-02-2014,8.0,3,-4,-581.0,244.02,-2568.02,e-Shop
29258453508,270384,20-02-2014,5.0,3,5,1497.0,785.925,8270.925,e-Shop
25455265351,267750,20-02-2014,12.0,6,3,1360.0,428.4,4508.4,e-Shop
1571002198,275023,20-02-2014,6.0,5,4,587.0,246.54,2594.54,e-Shop
43134751727,268487,20-02-2014,3.0,2,-1,-611.0,64.155,-675.155,e-Shop
36554696014,269345,20-02-2014,3.0,5,3,1253.0,394.695,4153.695,e-Shop
56814940239,268799,20-02-2014,7.0,5,5,368.0,193.2,2033.2,e-Shop
54295803788,270787,20-02-2014,12.0,5,5,584.0,306.6,3226.6,e-Shop
25963520987,274829,20-02-2014,4.0,4,3,502.0,158.13,1664.13,Flagship store
17183929085,266863,20-02-2014,1.0,2,1,1359.0,142.695,1501.695,TeleShop
44783317894,269452,20-02-2014,3.0,1,3,825.0,259.875,2734.875,TeleShop
58957828601,269009,20-02-2014,11.0,5,4,846.0,355.32,3739.32,TeleShop
9647515879,268934,20-02-2014,7.0,5,3,1384.0,435.96,4587.96,TeleShop
20781077773,269223,20-02-2014,5.0,3,3,1203.0,378.945,3987.945,TeleShop
91116291703,268509,20-02-2014,1.0,2,4,1243.0,522.06,5494.06,MBR
68325723297,268516,20-02-2014,9.0,3,1,877.0,92.085,969.085,e-Shop
73235813024,268774,20-02-2014,3.0,5,1,76.0,7.98,83.98,TeleShop
80712190438,270351,20-02-2014,1.0,1,5,772.0,405.3,4265.3,e-Shop
